dir path	filename	child age	# participants	partipant type	# adults
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_34	2;1.18	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_11a_ornat	2;5.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_20	2;4.	6	Mother;Sister;Child;Girl;Adult;Investigator;	3
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_12e_ornat	2;6.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_09b_ornat	2;02.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_14b_ornat	2;11.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_07	1;4.17	1	Mother;	1
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_31	1;11.30	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_11c_ornat	2;5.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_27	1;10.29	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_30	1;11.13	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_05	1;2.05	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_12d_ornat	2;6.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_18	2;0.	2	Mother;Sister;	1
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_40	2;4.13	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_54	2;10.13	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_06	1;4.16	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_42	2;4.28	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_33	2;0.28	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_09c_ornat	2;02.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_03b_ornat	1;9.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_11f_ornat	2;5.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_12g_ornat	2;6.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_10b_ornat	2;4.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_11g_ornat	2;5.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_13f_ornat	2;8.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_07e_ornat	2;0.	3	Mother;Father;Aunt;	3
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_04g_ornat	1;09.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_16	1;7.	2	Mother;Sister;	1
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_02g_ornat	1;7.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_24	1;9.28	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_23	1;9.10	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_06b_ornat	1;11.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_05d_ornat	1;10.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_05g_ornat	1;10.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_48	2;7.09	2	Mother;Father;	2
